nama_kos,harga,luas_kamar,jarak_ke_bca,tipe_kos,is_ac,is_km_dalam,is_water_heater,is_furnished,is_internet,is_listrik_free,is_parkir_mobil,is_mesin_cuci
Kost Gading Boulevard Tipe A Kelapa Gading Jakarta Utara,1675000,12.0,0.6960508306960066,campur,1,0,0,1,1,1,1,1
Kost Yudhistira Premium Eksekutif Premium Kelapa Gading Jakarta Utara,2300000,9.0,1.6915337939413064,campur,1,0,0,1,1,1,0,0
Kost Gading Surya Tipe Cheerful Kelapa Gading Jakarta Utara,950000,6.0,0.9715020715256908,campur,1,0,0,1,1,1,0,0
Kost Perintis Pulo Gadung Jakarta Timur,1800000,12.25,2.2183295334615707,campur,1,1,0,1,1,0,1,0
Kost Merah Delima Kelapa Gading Jakarta Utara,1600000,10.5,0.9199969085528596,putri,1,0,0,1,1,0,0,0
Kost Rumah Milanos Kelapa Gading Jakarta Utara,1500000,9.0,1.1727825278945294,campur,1,1,0,1,1,0,0,1
Kost Gading Permai Kelapa Gading Jakarta Utara,2100000,12.0,1.4930124300493153,campur,1,1,1,0,1,0,1,0
Kost Farida Kelapa Gading Jakarta Utara,1700000,6.25,1.6416039041817396,putri,1,0,0,1,1,1,0,1
Kost Plaza Pasifik Kelapa Gading Jakarta Utara,1700000,9.0,1.4350645347239508,campur,1,0,0,1,1,1,1,0
Kost Dedeh Kelapa Gading Jakarta Utara,2200000,15.0,0.7032182977965153,putri,1,1,0,1,1,1,1,1
Kost Gading Surya Tipe A Kelapa Gading Jakarta Utara,850000,6.0,0.9775345465076186,campur,1,0,0,1,1,1,0,0
Kost Kelapa Puan Timur Tipe E Kelapa Gading Jakarta Utara,695000,5.0,1.0646564329865371,putri,1,0,0,1,1,1,0,1
Kost Gading Surya Tipe Sweet Room Kelapa Gading Jakarta Utara,950000,9.0,0.9715020715256908,campur,1,0,0,1,1,1,0,0
Kost Kecak Asri Kelapa Gading Jakarta Utara,1500000,6.0,1.5205498778739517,campur,1,0,1,1,1,0,1,0
